ID,Time,Train_set_size,Test_set_size,convergence_epoch,training_acc,testing_acc
9,1,8000,2000,0,99.73999857902527,99.77333545684814
9,2,8000,2000,0,95.4883337020874,95.333331823349
9,4,8000,2000,0,99.16250109672546,98.9733338356018
9,5,8000,2000,0,99.74333047866821,99.66999888420105
9,6,8000,2000,0,99.99666810035706,99.9833345413208
9,7,8000,2000,10,100.0,100.0
9,8,8000,2000,26,99.99916553497314,100.0
9,9,8000,2000,0,99.92916584014893,99.94666576385498
9,10,8000,2000,4,100.0,100.0
9,1,8000,2000,0,98.34833145141602,98.6133337020874
9,0,8000,2000,24,100.0,100.0
