ID,Time,data,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
9,0,100,88.58625162127107,14.799999999999999,100.0,5.7,278,224,10,0
9,0,100,88.2915173237754,7.1,100.0,5.800000000000001,315,298,85,0
9,0,100,98.87920298879203,10.100000000000001,100.0,5.800000000000001,231,205,148,0
9,0,100,86.73602080624188,18.4,100.0,5.4,251,219,6,0
9,0,100,60.962566844919785,9.8,100.0,5.6000000000000005,290,266,9,0
9,0,100,100.0,100.0,100.0,5.7,334,326,8,1
9,0,100,100.0,100.0,100.0,5.4,285,263,7,1
9,0,100,52.84015852047557,16.5,100.0,5.5,273,233,10,0
9,0,100,100.0,100.0,100.0,5.5,285,281,4,1
9,0,100,95.39295392953929,11.799999999999999,100.0,5.5,290,245,52,0
