ID,Time,data,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
8,0,1,50.0,9.8,100.0,1.0,0,0,2,0
8,0,2,66.66666666666666,9.8,100.0,1.0999999999999999,3,3,1,0
8,0,3,78.57142857142857,9.8,100.0,1.3,4,4,1,0
8,0,4,82.35294117647058,9.8,100.0,1.3,4,4,1,0
8,0,5,87.5,9.8,100.0,2.1,13,13,2,0
8,0,6,88.46153846153845,9.8,100.0,2.3,15,15,2,0
8,0,7,82.75862068965517,9.8,100.0,2.6,17,17,2,0
8,0,8,83.87096774193549,9.8,100.0,2.6,17,17,2,0
8,0,9,77.77777777777779,9.8,100.0,2.8000000000000003,20,20,2,0
8,0,10,70.93023255813954,9.8,100.0,2.9000000000000004,28,28,2,0
8,0,11,71.91011235955057,9.8,100.0,2.9000000000000004,28,28,2,0
8,0,12,73.11827956989248,9.8,100.0,2.9000000000000004,28,28,2,0
8,0,13,75.0,9.8,100.0,3.0,36,35,2,0
8,0,14,100.0,25.0,100.0,3.1,46,45,4,0
8,0,15,100.0,25.0,100.0,3.1,52,51,4,0
8,0,16,100.0,100.0,100.0,3.8,59,58,4,1
8,0,17,100.0,100.0,100.0,3.8,65,63,4,1
8,0,18,100.0,100.0,100.0,4.0,66,64,4,1
8,0,19,100.0,100.0,100.0,4.1000000000000005,67,65,4,1
8,0,20,100.0,100.0,100.0,4.1000000000000005,67,65,4,1
8,0,21,100.0,100.0,100.0,4.1000000000000005,67,65,4,1
8,0,22,100.0,100.0,100.0,4.2,69,67,4,1
8,0,23,100.0,100.0,100.0,4.2,70,68,4,1
8,0,24,100.0,100.0,100.0,4.2,71,69,4,1
8,0,25,100.0,100.0,100.0,4.2,74,72,4,1
8,0,26,100.0,100.0,100.0,4.2,75,73,4,1
8,0,27,100.0,100.0,100.0,4.3,84,81,4,1
8,0,28,100.0,100.0,100.0,4.3,90,85,4,1
8,0,29,100.0,100.0,100.0,4.3999999999999995,96,91,4,1
8,0,30,100.0,100.0,100.0,4.5,105,100,4,1
8,0,31,100.0,100.0,100.0,4.5,105,100,4,1
8,0,32,100.0,100.0,100.0,4.5,106,101,4,1
8,0,33,100.0,100.0,100.0,4.5,106,101,4,1
8,0,34,100.0,100.0,100.0,4.5,106,101,4,1
8,0,35,100.0,100.0,100.0,4.5,114,109,4,1
8,0,36,100.0,100.0,100.0,4.5,114,109,4,1
8,0,37,100.0,100.0,100.0,4.5,117,112,4,1
8,0,38,100.0,100.0,100.0,4.5,122,117,4,1
8,0,39,100.0,100.0,100.0,4.5,122,117,4,1
8,0,40,100.0,100.0,100.0,4.5,123,118,4,1
8,0,41,100.0,100.0,100.0,4.7,131,123,4,1
8,0,42,100.0,100.0,100.0,4.7,131,123,4,1
8,0,43,100.0,100.0,100.0,4.7,131,123,4,1
8,0,44,100.0,100.0,100.0,4.7,131,123,4,1
8,0,45,100.0,100.0,100.0,4.7,132,124,4,1
8,0,46,100.0,100.0,100.0,4.7,132,124,4,1
8,0,47,100.0,100.0,100.0,4.7,136,128,4,1
8,0,48,100.0,100.0,100.0,4.7,142,133,4,1
8,0,49,100.0,100.0,100.0,4.7,143,134,4,1
8,0,50,100.0,100.0,100.0,4.7,143,134,4,1
8,0,51,100.0,100.0,100.0,4.7,143,134,4,1
8,0,52,100.0,100.0,100.0,4.7,143,134,4,1
8,0,53,100.0,100.0,100.0,4.7,143,134,4,1
8,0,54,100.0,100.0,100.0,4.7,143,134,4,1
8,0,55,100.0,100.0,100.0,4.8,151,142,4,1
8,0,56,100.0,100.0,100.0,4.8,155,146,4,1
8,0,57,100.0,100.0,100.0,4.8,159,150,4,1
8,0,58,100.0,100.0,100.0,4.8,159,150,4,1
8,0,59,100.0,100.0,100.0,4.8,168,158,4,1
8,0,60,100.0,100.0,100.0,4.8,168,158,4,1
8,0,61,100.0,100.0,100.0,4.8,182,167,4,1
8,0,62,100.0,100.0,100.0,4.8,188,172,4,1
8,0,63,100.0,100.0,100.0,4.9,195,180,4,1
8,0,64,100.0,100.0,100.0,4.9,198,182,4,1
8,0,65,100.0,100.0,100.0,5.0,201,185,4,1
8,0,66,100.0,100.0,100.0,5.0,208,194,4,1
8,0,67,100.0,100.0,100.0,5.0,211,195,4,1
8,0,68,100.0,100.0,100.0,5.0,213,197,4,1
8,0,69,100.0,100.0,100.0,5.0,217,201,4,1
8,0,70,100.0,100.0,100.0,5.0,223,204,4,1
8,0,71,100.0,100.0,100.0,5.1,229,206,4,1
8,0,72,100.0,100.0,100.0,5.1,232,209,4,1
8,0,73,100.0,100.0,100.0,5.1,232,209,4,1
8,0,74,100.0,100.0,100.0,5.2,238,212,4,1
8,0,75,100.0,100.0,100.0,5.2,242,215,4,1
8,0,76,100.0,100.0,100.0,5.3,249,222,4,1
8,0,77,100.0,100.0,100.0,5.4,252,225,4,1
8,0,78,100.0,100.0,100.0,5.4,253,226,4,1
8,0,79,100.0,100.0,100.0,5.4,253,226,4,1
