ID,Time,data,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
2,0,100,100.0,100.0,100.0,5.2,356,353,3,1
2,0,100,100.0,100.0,100.0,5.5,307,300,4,1
2,0,100,100.0,100.0,100.0,5.8999999999999995,361,339,1,1
2,0,100,100.0,100.0,100.0,6.4,407,407,1,1
2,0,100,100.0,100.0,100.0,5.5,417,416,3,1
2,0,100,100.0,100.0,100.0,5.800000000000001,336,331,4,1
2,0,100,100.0,100.0,100.0,5.3,341,326,3,1
2,0,100,100.0,100.0,100.0,5.8999999999999995,281,256,4,1
2,0,100,100.0,100.0,100.0,5.800000000000001,360,334,3,1
2,0,100,100.0,100.0,100.0,6.2,375,369,3,1
