ID,Time,Train_set_size,Test_set_size,convergence_epoch,training_acc,testing_acc
7,1,8000,2000,11,100.0,100.0
7,2,8000,2000,23,100.0,99.99666810035706
7,4,8000,2000,0,99.8449981212616,99.84999895095825
7,5,8000,2000,28,100.0,100.0
7,6,8000,2000,20,100.0,99.99666810035706
7,7,8000,2000,0,99.7041642665863,99.6999979019165
7,8,8000,2000,7,100.0,100.0
7,9,8000,2000,0,99.98916387557983,99.99666810035706
7,10,8000,2000,0,99.9916672706604,99.99666810035706
7,1,8000,2000,0,97.99083471298218,98.08666706085205
7,0,8000,2000,6,100.0,100.0
