ID,Time,data,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
7,0,100,86.76470588235294,16.2,100.0,5.7,282,262,6,0
7,0,100,100.0,100.0,100.0,5.8999999999999995,266,228,8,1
7,0,100,99.47506561679789,19.6,100.0,5.7,286,281,55,0
7,0,100,61.69590643274854,52.0,100.0,5.3,236,218,7,0
7,0,100,98.34710743801654,53.0,100.0,5.8999999999999995,281,255,44,0
7,0,100,86.25954198473282,9.2,100.0,6.0,191,182,7,0
7,0,100,100.0,100.0,100.0,5.5,367,339,5,1
7,0,100,100.0,100.0,100.0,5.4,253,240,8,1
7,0,100,100.0,100.0,100.0,5.5,307,289,9,1
7,0,100,98.19444444444444,9.6,100.0,5.3,219,210,94,0
