ID,Time,data,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
<<<<<<< HEAD
1,0,100,100.0,100.0,100.0,5.7,285,259,3,1
1,0,100,100.0,100.0,100.0,5.5,421,420,2,1
1,0,100,100.0,100.0,100.0,5.1,293,271,2,1
1,0,100,100.0,100.0,100.0,5.4,349,325,3,1
1,0,100,100.0,100.0,100.0,5.3,416,416,1,1
1,0,100,100.0,100.0,100.0,5.3,293,293,2,1
1,0,100,100.0,100.0,100.0,5.1,253,233,3,1
1,0,100,100.0,100.0,100.0,5.7,375,372,1,1
1,0,100,100.0,100.0,100.0,5.4,303,272,3,1
1,0,100,100.0,100.0,100.0,5.2,330,323,3,1
=======
1,0,1,28.57142857142857,8.6,100.0,1.0999999999999999,5,5,3,0
1,0,2,42.857142857142854,5.3,100.0,1.3,10,10,3,0
1,0,3,47.82608695652174,5.3,100.0,1.3,10,10,3,0
1,0,4,100.0,100.0,100.0,2.4,13,13,3,1
1,0,5,100.0,100.0,100.0,2.4,13,13,3,1
1,0,6,100.0,100.0,100.0,2.5,20,20,3,1
1,0,7,100.0,100.0,100.0,2.5,27,27,3,1
1,0,8,100.0,100.0,100.0,2.8000000000000003,27,27,3,1
1,0,9,100.0,100.0,100.0,2.9000000000000004,31,31,3,1
1,0,10,100.0,100.0,100.0,2.9000000000000004,31,31,3,1
1,0,11,100.0,100.0,100.0,2.9000000000000004,31,31,3,1
1,0,12,100.0,100.0,100.0,3.1,35,35,3,1
1,0,13,100.0,100.0,100.0,3.1,35,35,3,1
1,0,14,100.0,100.0,100.0,3.4000000000000004,43,43,3,1
1,0,15,100.0,100.0,100.0,3.4000000000000004,49,49,3,1
1,0,16,100.0,100.0,100.0,3.5000000000000004,52,52,3,1
1,0,17,100.0,100.0,100.0,3.5000000000000004,56,56,3,1
1,0,18,100.0,100.0,100.0,3.5999999999999996,65,65,3,1
1,0,19,100.0,100.0,100.0,4.0,70,70,3,1
1,0,20,100.0,100.0,100.0,4.0,73,73,3,1
1,0,21,100.0,100.0,100.0,4.2,77,77,3,1
1,0,22,100.0,100.0,100.0,4.2,84,84,3,1
1,0,23,100.0,100.0,100.0,4.2,84,84,3,1
1,0,24,100.0,100.0,100.0,4.2,84,84,3,1
1,0,25,100.0,100.0,100.0,4.2,86,86,3,1
1,0,26,100.0,100.0,100.0,4.3999999999999995,88,88,3,1
