ID,Time,data,sim_threshold,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
0,0,100,0.2,100.0,100.0,100.0,5.4,342,342,4,1
0,0,100,0.4,100.0,100.0,100.0,5.4,342,342,4,1
0,0,100,0.6,100.0,100.0,100.0,5.4,376,376,5,1
0,0,100,0.8,100.0,100.0,100.0,5.4,331,331,7,1
0,0,100,0.9,100.0,100.0,100.0,5.4,353,353,9,1
0,0,100,0.95,100.0,100.0,100.0,5.4,353,353,9,1
0,0,100,0.2,100.0,100.0,100.0,5.5,468,468,3,1
0,0,100,0.4,100.0,100.0,100.0,5.5,468,468,3,1
0,0,100,0.6,100.0,100.0,100.0,5.5,468,468,3,1
0,0,100,0.8,100.0,100.0,100.0,5.5,468,468,3,1
0,0,100,0.9,100.0,100.0,100.0,5.5,468,468,3,1
0,0,100,0.95,100.0,100.0,100.0,5.5,428,428,5,1
0,0,100,0.2,100.0,100.0,100.0,5.7,329,329,3,1
0,0,100,0.4,100.0,100.0,100.0,5.7,374,374,3,1
0,0,100,0.6,100.0,100.0,100.0,5.7,374,374,3,1
0,0,100,0.8,100.0,100.0,100.0,5.7,374,374,3,1
0,0,100,0.9,100.0,100.0,100.0,5.7,364,364,4,1
0,0,100,0.95,100.0,100.0,100.0,5.7,329,316,5,1
0,0,100,0.2,100.0,100.0,100.0,5.3,335,335,2,1
0,0,100,0.4,100.0,100.0,100.0,5.3,335,335,2,1
0,0,100,0.6,100.0,100.0,100.0,5.3,335,335,2,1
0,0,100,0.8,100.0,100.0,100.0,5.3,335,335,2,1
0,0,100,0.9,100.0,100.0,100.0,5.3,335,322,2,1
0,0,100,0.95,100.0,100.0,100.0,5.3,335,286,2,1
0,0,100,0.2,100.0,100.0,100.0,5.7,343,343,2,1
0,0,100,0.4,100.0,100.0,100.0,5.7,343,343,2,1
0,0,100,0.6,100.0,100.0,100.0,5.7,343,343,2,1
0,0,100,0.8,100.0,100.0,100.0,5.7,343,343,2,1
0,0,100,0.9,100.0,100.0,100.0,5.7,343,343,2,1
0,0,100,0.95,100.0,100.0,100.0,5.7,343,343,2,1
0,0,100,0.2,100.0,100.0,100.0,5.4,335,335,3,1
0,0,100,0.4,100.0,100.0,100.0,5.4,335,335,3,1
0,0,100,0.6,100.0,100.0,100.0,5.4,335,335,3,1
0,0,100,0.8,100.0,100.0,100.0,5.4,335,335,3,1
0,0,100,0.9,100.0,100.0,100.0,5.4,354,354,4,1
0,0,100,0.95,100.0,100.0,100.0,5.4,354,354,4,1
0,0,100,0.2,100.0,100.0,100.0,5.6000000000000005,422,419,3,1
0,0,100,0.4,100.0,100.0,100.0,5.6000000000000005,489,489,3,1
0,0,100,0.6,100.0,100.0,100.0,5.6000000000000005,439,439,3,1
0,0,100,0.8,100.0,100.0,100.0,5.6000000000000005,567,567,3,1
0,0,100,0.9,100.0,100.0,100.0,5.6000000000000005,460,459,3,1
0,0,100,0.95,100.0,100.0,100.0,5.6000000000000005,443,443,4,1
0,0,100,0.2,100.0,100.0,100.0,5.800000000000001,396,396,3,1
0,0,100,0.4,100.0,100.0,100.0,5.800000000000001,396,396,3,1
0,0,100,0.6,100.0,100.0,100.0,5.800000000000001,396,396,3,1
0,0,100,0.8,100.0,100.0,100.0,5.800000000000001,379,379,3,1
0,0,100,0.9,100.0,100.0,100.0,5.800000000000001,379,379,3,1
0,0,100,0.95,100.0,100.0,100.0,5.800000000000001,379,379,3,1
0,0,100,0.2,100.0,100.0,100.0,5.6000000000000005,352,352,3,1
0,0,100,0.4,100.0,100.0,100.0,5.6000000000000005,351,351,4,1
0,0,100,0.6,100.0,100.0,100.0,5.6000000000000005,373,373,4,1
0,0,100,0.8,100.0,100.0,100.0,5.6000000000000005,365,365,4,1
0,0,100,0.9,100.0,100.0,100.0,5.6000000000000005,365,365,4,1
0,0,100,0.95,100.0,100.0,100.0,5.6000000000000005,364,364,5,1
0,0,100,0.2,100.0,100.0,100.0,6.0,517,517,2,1
0,0,100,0.4,100.0,100.0,100.0,6.0,517,517,2,1
0,0,100,0.6,100.0,100.0,100.0,6.0,517,517,2,1
0,0,100,0.8,100.0,100.0,100.0,6.0,517,517,2,1
0,0,100,0.9,100.0,100.0,100.0,6.0,517,517,2,1
0,0,100,0.95,100.0,100.0,100.0,6.0,517,517,2,1
