ID,Time,data,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
<<<<<<< HEAD
0,0,100,100.0,100.0,100.0,5.7,329,259,1,1
0,0,100,100.0,100.0,100.0,5.4,325,323,1,1
0,0,100,100.0,100.0,100.0,6.0,460,459,1,1
0,0,100,100.0,100.0,100.0,5.3,260,254,2,1
0,0,100,100.0,100.0,100.0,5.7,406,406,1,1
0,0,100,100.0,100.0,100.0,5.7,379,365,1,1
0,0,100,100.0,100.0,100.0,5.7,326,316,2,1
0,0,100,100.0,100.0,100.0,5.6000000000000005,447,408,2,1
0,0,100,100.0,100.0,100.0,5.4,379,368,1,1
0,0,100,100.0,100.0,100.0,6.0,392,392,2,1
=======
0,0,1,25.0,2.4,100.0,1.0999999999999999,1,1,1,0
0,0,2,57.14285714285714,6.5,100.0,1.0999999999999999,4,4,2,0
0,0,3,100.0,100.0,100.0,2.1,14,14,2,1
0,0,4,100.0,100.0,100.0,2.4,19,19,2,1
0,0,5,100.0,100.0,100.0,2.5,27,27,2,1
0,0,6,100.0,100.0,100.0,2.5,27,27,2,1
0,0,7,100.0,100.0,100.0,2.6,33,33,2,1
0,0,8,100.0,100.0,100.0,2.6,33,33,2,1
0,0,9,100.0,100.0,100.0,2.6,38,37,2,1
0,0,10,100.0,100.0,100.0,2.6,38,37,2,1
0,0,11,100.0,100.0,100.0,2.7,41,40,2,1
0,0,12,100.0,100.0,100.0,3.0,45,44,2,1
0,0,13,100.0,100.0,100.0,3.5999999999999996,50,49,2,1
0,0,14,100.0,100.0,100.0,3.5999999999999996,52,51,2,1
0,0,15,100.0,100.0,100.0,3.6999999999999997,54,53,2,1
0,0,16,100.0,100.0,100.0,3.8,65,64,2,1
0,0,17,100.0,100.0,100.0,3.8,65,64,2,1
0,0,18,100.0,100.0,100.0,3.9,76,75,2,1
0,0,19,100.0,100.0,100.0,4.0,85,84,2,1
0,0,20,100.0,100.0,100.0,4.0,85,84,2,1
0,0,21,100.0,100.0,100.0,4.0,85,84,2,1
0,0,22,100.0,100.0,100.0,4.0,85,84,2,1
0,0,23,100.0,100.0,100.0,4.0,85,84,2,1
0,0,24,100.0,100.0,100.0,4.0,86,85,2,1
0,0,25,100.0,100.0,100.0,4.0,94,93,2,1
0,0,26,100.0,100.0,100.0,4.0,94,93,2,1
0,0,27,100.0,100.0,100.0,4.1000000000000005,95,94,2,1
0,0,28,100.0,100.0,100.0,4.1000000000000005,103,102,2,1
0,0,29,100.0,100.0,100.0,4.3,112,109,2,1
0,0,30,100.0,100.0,100.0,4.3,116,113,2,1
0,0,31,100.0,100.0,100.0,4.3999999999999995,123,120,2,1
0,0,32,100.0,100.0,100.0,4.3999999999999995,123,120,2,1
0,0,33,100.0,100.0,100.0,4.3999999999999995,133,130,2,1
0,0,34,100.0,100.0,100.0,4.6,137,137,2,1
0,0,35,100.0,100.0,100.0,4.6,137,137,2,1
0,0,36,100.0,100.0,100.0,4.6,137,137,2,1
0,0,37,100.0,100.0,100.0,4.9,145,145,2,1
0,0,38,100.0,100.0,100.0,4.9,150,150,2,1
0,0,39,100.0,100.0,100.0,4.9,150,150,2,1
0,0,40,100.0,100.0,100.0,4.9,150,150,2,1
0,0,41,100.0,100.0,100.0,4.9,150,150,2,1
0,0,42,100.0,100.0,100.0,4.9,150,150,2,1
0,0,43,100.0,100.0,100.0,4.9,158,158,2,1
