ID,Time,data,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
5,0,100,100.0,100.0,100.0,5.6000000000000005,354,335,4,1
5,0,100,100.0,100.0,100.0,5.7,391,385,2,1
5,0,100,100.0,100.0,100.0,5.3,332,303,6,1
5,0,100,100.0,100.0,100.0,5.4,281,213,6,1
5,0,100,100.0,100.0,100.0,5.5,358,312,5,1
5,0,100,71.40974967061923,52.6,100.0,6.2,255,228,3,0
5,0,100,100.0,100.0,100.0,5.7,297,286,5,1
5,0,100,98.16031537450722,13.600000000000001,100.0,5.6000000000000005,276,218,68,0
5,0,100,100.0,100.0,100.0,5.7,313,290,5,1
5,0,100,100.0,100.0,100.0,5.5,348,342,4,1
