id,train_size,test_size,convergence_epoch,train_acc,test_acc
0,8000,2000,2,100.0,100.0
0,8000,2000,2,100.0,100.0
1,8000,2000,4,100.0,100.0
2,8000,2000,4,100.0,100.0
3,8000,2000,3,100.0,100.0
4,8000,2000,5,100.0,100.0
5,8000,2000,9,100.0,100.0
6,8000,2000,5,100.0,100.0
7,8000,2000,4,100.0,100.0
8,8000,2000,6,100.0,100.0
9,8000,2000,5,100.0,100.0
0,8000,2000,2,100.0,100.0
