ID,Time,data,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
3,0,100,100.0,100.0,100.0,5.8999999999999995,321,309,4,1
3,0,100,100.0,100.0,100.0,5.4,320,305,2,1
3,0,100,100.0,100.0,100.0,5.800000000000001,369,350,5,1
3,0,100,100.0,100.0,100.0,5.0,262,240,5,1
3,0,100,100.0,100.0,100.0,5.2,348,326,5,1
3,0,100,100.0,100.0,100.0,5.5,325,311,4,1
3,0,100,100.0,100.0,100.0,5.4,298,285,4,1
3,0,100,100.0,100.0,100.0,5.5,285,260,5,1
3,0,100,100.0,100.0,100.0,5.7,320,315,5,1
3,0,100,100.0,100.0,100.0,5.5,319,302,5,1
